Entrez ID,Phenotype
2,['Complement and coagulation cascades']
9,"['Caffeine metabolism', 'Drug metabolism - other enzymes', 'Metabolic pathways', 'Chemical carcinogenesis - DNA adducts']"
10,"['Caffeine metabolism', 'Drug metabolism - other enzymes', 'Metabolic pathways', 'Chemical carcinogenesis - DNA adducts']"
15,"['Tryptophan metabolism', 'Metabolic pathways']"
16,['Aminoacyl-tRNA biosynthesis']
18,"['Alanine, aspartate and glutamate metabolism', 'Valine, leucine and isoleucine degradation', 'beta-Alanine metabolism', 'Propanoate metabolism', 'Butanoate metabolism', 'Metabolic pathways', 'GABAergic synapse']"
19,"['ABC transporters', 'Efferocytosis', 'Fat digestion and absorption', 'Cholesterol metabolism', 'Lipid and atherosclerosis']"
20,"['ABC transporters', 'Lysosome']"
21,['ABC transporters']
22,['ABC transporters']
24,['ABC transporters']
25,"['ErbB signaling pathway', 'Ras signaling pathway', 'Cell cycle', 'Axon guidance', 'Neurotrophin signaling pathway', 'Pathogenic Escherichia coli infection', 'Pathways in cancer', 'MicroRNAs in cancer', 'Chemical carcinogenesis - reactive oxygen species', 'Chronic myeloid leukemia', 'Viral myocarditis']"
26,"['Arginine and proline metabolism', 'Histidine metabolism', 'Tryptophan metabolism', 'Metabolic pathways']"
27,"['ErbB signaling pathway', 'Ras signaling pathway', 'Chemical carcinogenesis - reactive oxygen species', 'Viral myocarditis']"
28,"['Glycosphingolipid biosynthesis - lacto and neolacto series', 'Glycosphingolipid biosynthesis - globo and isoglobo series', 'Metabolic pathways']"
30,"['Fatty acid degradation', 'Valine, leucine and isoleucine degradation', 'alpha-Linolenic acid metabolism', 'Biosynthesis of unsaturated fatty acids', 'Metabolic pathways', 'Fatty acid metabolism', 'PPAR signaling pathway', 'Peroxisome']"
31,"['Fatty acid biosynthesis', 'Pyruvate metabolism', 'Propanoate metabolism', 'Metabolic pathways', 'Fatty acid metabolism', 'AMPK signaling pathway', 'Insulin signaling pathway', 'Glucagon signaling pathway', 'Alcoholic liver disease']"
32,"['Fatty acid biosynthesis', 'Pyruvate metabolism', 'Propanoate metabolism', 'Metabolic pathways', 'AMPK signaling pathway', 'Insulin signaling pathway', 'Adipocytokine signaling pathway', 'Glucagon signaling pathway', 'Insulin resistance', 'Alcoholic liver disease']"
33,"['Fatty acid degradation', 'Metabolic pathways', 'Fatty acid metabolism', 'PPAR signaling pathway']"
34,"['Fatty acid degradation', 'Valine, leucine and isoleucine degradation', 'Metabolic pathways', 'Fatty acid metabolism', 'PPAR signaling pathway', 'Alcoholic liver disease']"
