umlsid,phenotype,hpoid,cr
C0156273,Bladder diverticulum,HP:0000015,PT
C1855311,Megacystis,HP:0000021,PT
C4025899,Abnormality of male internal genitalia,HP:0000022,PT
C0151721,Male hypogonadism,HP:0000026,PT
C0341787,Bifid scrotum,HP:0000048,PT
C4551492,Micropenis,HP:0000054,PT
C0566899,Hypoplastic labia majora,HP:0000059,PT
C1840382,Abnormality of the ureter,HP:0000069,PT
C0521620,Hydroureter,HP:0000072,PT
C0042580,Vesicoureteral reflux,HP:0000076,PT
C0744356,Abnormality of the genital system,HP:0000078,PT
C0238207,Ectopic kidney,HP:0000086,PT
C0271578,Female hypogonadism,HP:0000134,PT
C0020619,Hypogonadism,HP:0000135,PT
C1518716,Ovarian gonadoblastoma,HP:0000149,PT
C0432103,Submucous cleft hard palate,HP:0000176,PT
C0240379,Open mouth,HP:0000194,PT
C0017675,Glossitis,HP:0000206,PT
C0265535,Trigonocephaly,HP:0000243,PT
C0037199,Sinusitis,HP:0000246,PT
C0221356,Brachycephaly,HP:0000248,PT
C0149512,Acute sinusitis,HP:0000255,PT
C0035353,Retrognathia,HP:0000278,PT
C1854111,Broad philtrum,HP:0000289,PT
C1842366,Low anterior hairline,HP:0000294,PT
C0424448,Mask-like facies,HP:0000298,PT
C0239479,Round face,HP:0000311,PT
C1837758,Bird-like facies,HP:0000320,PT
C1861324,Short philtrum,HP:0000322,PT
C0239676,High forehead,HP:0000348,PT
C0040264,Tinnitus,HP:0000360,PT
C1857486,"Low-set, posteriorly rotated ears",HP:0000368,PT
C1861141,Abnormality of the middle ear,HP:0000370,PT
C0029882,Otitis media,HP:0000388,PT
C1837731,Overfolded helix,HP:0000396,PT
C0395837,Stenosis of the external auditory canal,HP:0000402,PT
C0747085,Recurrent otitis media,HP:0000403,PT
C4021804,Abnormality of the nasal alae,HP:0000429,PT
C0584837,Choanal stenosis,HP:0000452,PT
C0240479,Neck muscle weakness,HP:0000467,PT
C4025850,Increased adipose tissue around the neck,HP:0000468,PT
C0003119,Anophthalmia,HP:0000528,PT
C1839364,Progressive visual loss,HP:0000529,PT
C0035305,Retinal detachment,HP:0000541,PT
C0035304,Retinal degeneration,HP:0000546,PT
C0854723,Retinal dystrophy,HP:0000556,PT
C0022578,Keratoconus,HP:0000563,PT
C0015310,Exotropia,HP:0000577,PT
C4025838,Abnormality of the pharynx,HP:0000600,PT
C1844605,Periorbital wrinkles,HP:0000607,PT
C0338502,Optic nerve hypoplasia,HP:0000609,PT
C0028738,Nystagmus,HP:0000639,PT
C0155016,Red-green dyschromatopsia,HP:0000642,PT
C0002418,Amblyopia,HP:0000646,PT
C0431447,Synophrys,HP:0000664,PT
C0011334,Carious teeth,HP:0000670,PT
C1849950,Agenesis of maxillary lateral incisor,HP:0000690,PT
C0011998,Diastema,HP:0000699,PT
C0031099,Periodontitis,HP:0000704,PT
C0002452,Amelogenesis imperfecta,HP:0000705,PT
C0036601,Self-mutilation,HP:0000742,PT
C0240735,Personality changes,HP:0000751,PT
C0151313,Sensory neuropathy,HP:0000763,PT
C0158731,Pectus carinatum,HP:0000768,PT
C1834931,Cystic renal dysplasia,HP:0000800,PT
C4025825,Abnormal external genitalia,HP:0000811,PT
C0266387,Bicornuate uterus,HP:0000813,PT
C0034013,Precocious puberty,HP:0000826,PT
C1846223,Adrenal hypoplasia,HP:0000835,PT
C0020550,Hyperthyroidism,HP:0000836,PT
C1389851,Parathyroid hypoplasia,HP:0000860,PT
C0687720,Central diabetes insipidus,HP:0000863,PT
C0232940,Secondary amenorrhea,HP:0000869,PT
C0028949,Oligomenorrhea,HP:0000876,PT
C0158779,Cervical ribs,HP:0000891,PT
C4721788,Bifid ribs,HP:0000892,PT
C1835579,Rib exostoses,HP:0000896,PT
C1861213,Wide-cupped costochondral junctions,HP:0000910,PT
C0426801,Broad clavicles,HP:0000916,PT
C4021790,Abnormality of the skeletal system,HP:0000924,PT
C0029456,Osteoporosis,HP:0000939,PT
C1861218,Hypoplastic ilia,HP:0000946,PT
C0013595,Eczema,HP:0000964,PT
C0263401,Cutis marmorata,HP:0000965,PT
C0031256,Petechiae,HP:0000967,PT
C0013595,Eczematoid dermatitis,HP:0000976,PT
C0423798,Bruising susceptibility,HP:0000978,PT
C0034150,Purpura,HP:0000979,PT
C0020555,Hypertrichosis,HP:0000998,PT
C0162835,Hypopigmentation of the skin,HP:0001010,PT
C4025809,Penetrating foot ulcers,HP:0001026,PT
C1867448,Multiple pterygia,HP:0001040,PT
C0002986,Angiokeratoma corporis diffusum,HP:0001071,PT
C0162154,Atrophic scars,HP:0001075,PT
C0003742,Corneal arcus,HP:0001084,PT
C1303007,Brushfield spots,HP:0001088,PT
C0521694,Retinal atrophy,HP:0001105,PT
C0078917,Ocular albinism,HP:0001107,PT
C0917796,Leber optic atrophy,HP:0001112,PT
C0039075,Syndactyly,HP:0001159,PT
C2699510,Split hand,HP:0001171,PT
C1395852,Preaxial hand polydactyly,HP:0001177,PT
C4048199,Ulnar deviation of the hand or of fingers of the hand,HP:0001193,PT
C1384670,Single umbilical artery,HP:0001195,PT
C0266786,Short umbilical cord,HP:0001196,PT
C0431887,Hitchhiker thumb,HP:0001234,PT
C0409345,Wrist flexion contracture,HP:0001239,PT
C0009421,Coma,HP:0001259,PT
C1854301,Motor delay,HP:0001270,PT
C0020651,Orthostatic hypotension,HP:0001278,PT
C0038454,Stroke,HP:0001297,PT
C0085584,Encephalopathy,HP:0001298,PT
C0013423,Torsion dystonia,HP:0001304,PT
C0234162,Dysmetria,HP:0001310,PT
C0079541,Holoprosencephaly,HP:0001360,PT
C2711227,Hepatic steatosis,HP:0001397,PT
C0085605,Hepatic failure,HP:0001399,PT
C1837256,Macrovesicular hepatic steatosis,HP:0001403,PT
C4025786,Abnormality of the musculature of the hand,HP:0001421,PT
C0887941,Mitochondrial inheritance,HP:0001427,PT
C4025781,Autosomal dominant somatic cell mutation,HP:0001444,PT
C4025774,1-3 toe syndactyly,HP:0001459,PT
C1849263,Sclerotic scapulae,HP:0001474,PT
C1855514,Severe failure to thrive,HP:0001525,PT
C0265706,Gastroschisis,HP:0001543,PT
C1835762,Widely-spaced maxillary central incisors,HP:0001566,PT
C0240595,Rotary nystagmus,HP:0001583,PT
C2678303,Hoarse cry,HP:0001615,PT
C0241703,High pitched voice,HP:0001620,PT
C0149630,Bicuspid aortic valve,HP:0001647,PT
C0151878,Prolonged QT interval,HP:0001657,PT
C0042510,Ventricular fibrillation,HP:0001663,PT
C0162770,Right ventricular hypertrophy,HP:0001667,PT
C0205700,Asymmetric septal hypertrophy,HP:0001670,PT
C0340279,Ventricular hypertrophy,HP:0001714,PT
C0410264,Achilles tendon contracture,HP:0001771,PT
C1837279,Hypoplastic toenails,HP:0001800,PT
C1833225,Dystrophic toenail,HP:0001810,PT
C0423823,Thin nail,HP:0001816,PT
C1844554,Absent fingernail,HP:0001817,PT
C4021772,Bifid distal phalanx of toe,HP:0001853,PT
C0853697,Neutropenia,HP:0001875,PT
C0023530,Leukopenia,HP:0001882,PT
C0162316,Iron deficiency anemia,HP:0001891,PT
C0085577,Normocytic anemia,HP:0001897,PT
C0333864,Giant platelets,HP:0001902,PT
C0272278,Congenital thrombocytopenia,HP:0001905,PT
C0040038,Thromboembolism,HP:0001907,PT
C0023418,Leukemia,HP:0001909,PT
C5194182,Microcytic anemia,HP:0001935,PT
C0740898,Hypokalemic metabolic alkalosis,HP:0001960,PT
C2613439,Extramedullary hematopoiesis,HP:0001978,PT
C0241775,Organic aciduria,HP:0001992,PT
C4021764,Abnormality of the abdominal organs,HP:0002012,PT
C0268435,Proximal renal tubular acidosis,HP:0002049,PT
C0026837,Rigidity,HP:0002063,PT
